# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C35H47FO,302361,394999,348680,949354,550260,1914675,312677,411896,325186,538010,422570,479343,919795,772418,1221500,395149,322879,487362,321596,344070,647976,518786,283883,522095,486577,494781,508686,2185459,2746299,3750070,6425190,6301885,6648981,737868,1284371,1134602,6364519,3565962,4719809,508988,582892,416010,4257479,5448211,1921465,1,1313504,277106,1,807990,1623164,,"C35H47FO [ C35 H47 F O, tgt=, overall=87.52, db=87.52 ]",,,C35H47FO,12.454001,"(503.37, 493470.44)(504.3727, 151263.22)(505.3721, 28295.61)(506.368, 5214.03)",502.3599,Esi+,C35 H47 F O,48,FindByFormula
C13H18O4,50140,55913,53026.5,3560470,3284263,4080273,3671709,2147613,3515343,3598601,2992832,3595175,3442182,3174506,2799743,3965188,6749655,4916551,4830147,2877586,5822119,3628466,4458479,4837026,3042704,3153659,3068803,2924996,3693884,5503421,5393175,5926316,6021919,5294690,5524224,6922698,4438650,3988918,854190,725052,966158,543812,2105052,3756474,736411,189264,5833697,608454,599498,900559,3197541,,"C13H18O4 [ C13 H18 O4, tgt=, overall=93.55, db=93.55 ]",,,C13H18O4,8.651,"(239.1275, 654066.2)(240.1304, 64985.07)(241.135, 8471.46)(477.2461, 11923.2)(478.2493, 2912.84)",238.1202,Esi+,C13 H18 O4,50,FindByFormula
C12H16O4,38032,32985,35508.5,3549113,3339076,3842000,3562312,2062555,3298773,3701826,3013334,3567851,3132550,2809252,2591733,2310877,5688828,3935239,4613981,2651060,5243502,3497250,4237736,4597687,2507498,2470594,2573125,2706700,3340195,4732646,4700691,4976317,5054206,4864788,4923036,6045822,3683082,3329636,243682,688288,843674,580796,2227593,3513330,861273,179729,5401500,553947,638004,916794,3190003,,"C12H16O4 [ C12 H16 O4, tgt=, overall=95.98, db=95.98 ]",,,C12H16O4,7.8540034,"(225.1122, 572366.0)(226.115, 57249.49)(227.1205, 7823.22)(449.2156, 12012.82)(450.219, 2561.23)",224.1037,Esi+,C12 H16 O4,50,FindByFormula
616.4656@12.8169985,331799,341149,336474,1561573,1305696,2232423,1272620,924873,1238950,1456705,1276852,1559111,2033858,1380094,1129232,1598734,1123279,1148760,715289,693747,1325648,897182,1060195,1724713,883178,1197339,1022146,1220766,1708904,3030087,3410607,3516903,3600895,1066374,2448407,3235271,2247132,1488987,650563,6951984,2749972,6953874,3053703,2642281,3758666,1240331,362705,4826017,2452570,2321410,1585398,,,,,616.4656@12.8169985,12.8169985,"(617.4757, 213445.05)(618.4785, 73734.45)(619.4914, 232835.73)",616.4656,Esi+,,50,FindByFormula
C7H10N6,30382,43537,36959.5,6290159,5719505,5723805,5768167,3773177,5752464,5436986,4158673,5162218,3973312,3926822,3809801,2815626,6076117,4521299,5500987,3400274,5905334,3914433,5643314,3717369,4217239,4263444,4059969,2646421,3168139,4810838,3446591,3242436,3385893,5251173,4426202,5442612,4730207,3673096,1728664,470810,738986,486125,1969724,2816085,807435,310272,3804713,426593,682211,1069054,2171811,,"C7H10N6 [ C7 H10 N6, tgt=, overall=96.96, db=96.96 ]",,,C7H10N6,8.036997,"(179.104, 583019.25)(180.1069, 47416.02)(181.1164, 5307.47)",178.0966,Esi+,C7 H10 N6,50,FindByFormula
C8H10N3O3,55970,48059,52014.5,3428985,3314881,3659305,3392871,1950639,3254729,3616280,3114688,3482486,3338955,3121854,2883510,539925,5342102,3635232,4499448,2430077,5179539,3267664,3883516,3322050,2543991,2810025,2610610,2589358,2968025,3860309,3982216,4108631,4266534,4229740,4031055,5204620,3417957,3233919,774982,831428,989526,676458,1837132,3118156,953457,204827,4609103,559753,559507,751577,2734266,,"C8H10N3O3 [ C8 H10 N3 O3, tgt=, overall=95.90, db=95.90 ]",,,C8H10N3O3,5.8080006,"(197.0794, 550271.56)(198.0823, 40301.46)(199.0894, 6003.42)(393.1502, 14268.44)(394.1537, 2530.23)",196.0716,Esi+,C8 H10 N3 O3,50,FindByFormula
C14H12O4 Esi+8.548003,5841561,2391988,4116774.5,1.04E+07,7914902,8432591,1.38E+07,6092234,8045540,1.15E+07,7422031,8666896,1.14E+07,8169299,6333699,1.09E+07,1.31E+07,7861743,1.33E+07,4189979,5429381,1.01E+07,6684005,9196475,1.52E+07,6410057,9026390,9469604,1.26E+07,1.17E+07,1.38E+07,1.58E+07,1.44E+07,8455911,1.03E+07,1.54E+07,9681111,1.15E+07,8225811,1.04E+07,1.31E+07,1.08E+07,1.17E+07,1.67E+07,1.12E+07,5353942,1.24E+07,1.67E+07,1.22E+07,1.06E+07,8499569,,"C14H12O4 [ C14 H12 O4, tgt=, overall=95.38, db=95.38 ]",,,C14H12O4 Esi+8.548003,8.548003,"(245.0809, 1592757.1)(246.0839, 181963.38)(247.0858, 19660.77)",244.0741,Esi+,C14 H12 O4,50,FindByFormula
C35H56N8O6,4658507,4986553,4822530,3677641,3563788,3281903,3784036,3841384,4075887,4059955,4113192,3674469,3712268,3553687,3425287,3652694,3620979,3885893,3856878,4405733,3860277,4240221,3718420,3863825,3889853,3852568,4092287,4070830,3796839,3285869,3077631,2528280,2287166,2902054,3079282,3628973,3243456,3227027,3417144,2854641,3300038,1618825,1663054,460331,1329013,1421637,195231,1710071,2342562,1958652,1534871,,"C35H56N8O6 [ C35 H56 N8 O6, tgt=, overall=69.53, db=69.53 ]",,,C35H56N8O6,13.437994,"(685.4338, 348008.94)(686.4367, 148231.02)(687.4392, 29785.07)(688.4417, 4664.03)",684.428,Esi+,C35 H56 N8 O6,50,FindByFormula
C9H11FN4,59495,1,29748,2911091,2753576,3198643,3029552,1758635,2784894,2378429,1933251,2294271,2032599,1875943,1689115,2366018,3816429,2235516,3730723,1946357,4226402,2249028,2667650,2880806,1539044,1504061,1560102,2015210,2396132,3309803,3660699,3828954,4011471,3517823,3472940,4471384,2403981,2137280,1732881,545241,729440,484399,2190765,3679373,913771,235444,5049369,340745,411096,762611,2233191,,"C9H11FN4 [ C9 H11 F N4, tgt=, overall=84.12, db=84.12 ]",,,C9H11FN4,6.454,"(195.1042, 343681.47)(196.1072, 27590.45)(389.2002, 2643.25)",194.0944,Esi+,C9 H11 F N4,49,FindByFormula
C14H16N6O2 Esi+10.608001,1.09E+07,1.12E+07,11050000,8797314,9207976,8804703,2556141,1.02E+07,2803015,1.75E+07,2818490,9674768,2697882,2477862,2715459,2954082,8423766,9529193,1.07E+07,3070393,9688846,2964504,9599391,2901853,3088804,9950337,2941030,3.10E+07,2256883,2188485,2392649,2084423,7509957,2167355,2242549,2094366,2106337,3.71E+07,2451701,4095522,4504278,4267172,3016106,2.93E+07,3515011,1.06E+07,2675681,3543717,3281929,3741730,3821919,,"C14H16N6O2 [ C14 H16 N6 O2, tgt=, overall=97.79, db=97.79 ]",,,C14H16N6O2 Esi+10.608001,10.608001,"(301.1411, 2542864.5)(302.1444, 400951.72)(303.1462, 42869.65)",300.1307,Esi+,C14 H16 N6 O2,50,FindByFormula
C13H24N2O,22446,20468,21457,1,1,1,1,1,1,18862,1,18018,1,1,1,40672,21298,129383,1,1,1,1,1,1,1,1,1,1403982,1,1,1,1,1,86008,1,1,1,4187184,1,64544,1,1,1,1138820,1,1,1,1,37306,1,61532,,"C13H24N2O [ C13 H24 N2 O, tgt=, overall=71.29, db=71.29 ]",,,C13H24N2O,9.067996,"(225.1932, 429331.34)(226.1961, 54140.15)(227.1986, 3871.59)(449.3776, 9238.63)(450.3811, 2699.57)",224.1849,Esi+,C13 H24 N2 O,50,FindByFormula
C18H18F2N2O4,643505,762174,702839.5,523969,549969,687156,745993,539841,662734,534655,671576,678422,583203,530464,591377,851864,587221,740722,559890,541885,668708,530004,937728,1033759,678295,813191,932995,585358,784918,1226774,1666006,1356847,505939,613238,624949,774144,1473410,659423,499217,555307,794942,932556,2246995,825287,947512,796938,3969947,1343933,1129872,1078383,988674,,"C18H18F2N2O4 [ C18 H18 F2 N2 O4, tgt=, overall=95.07, db=95.07 ]",,,C18H18F2N2O4,10.545005,"(365.1321, 381459.06)(366.1349, 76008.33)(367.1376, 9877.95)",364.1247,Esi+,C18 H18 F2 N2 O4,50,FindByFormula
C8H14N6O,75271,107423,91347,2711715,2037644,2303885,1366908,893400,1083163,2609743,2286089,2521770,876677,940623,1051240,1160621,2266251,1692414,1516519,916062,1866679,1671189,2280105,2201250,1098247,1601892,1246254,1368350,1557029,2028138,3026031,2580950,2747916,2298788,2472920,2675689,3219963,1841501,2326252,771762,828256,792912,4303829,4668225,1909800,335573,4262907,2215488,3079903,4028125,3300369,,"C8H14N6O [ C8 H14 N6 O, tgt=, overall=96.65, db=96.65 ]",,,C8H14N6O,8.023996,"(211.1296, 382846.12)(212.1324, 34414.77)(213.1367, 3538.0)",210.1239,Esi+,C8 H14 N6 O,50,FindByFormula
C18H38N2O6 Esi+12.351007,198720,231730,215225,3553296,2486273,4012519,2433565,1516841,2544385,3727811,3199445,4158902,4440858,3655877,2708787,5181026,5321077,4400381,4665756,2824785,6691591,3472846,5036589,6859586,3168570,3302787,3767016,1.20E+07,1.32E+07,1.98E+07,1.09E+07,1.05E+07,9546579,9551489,1.45E+07,1.55E+07,1.05E+07,9992762,7146936,5771312,3604187,4070437,5215307,6055432,7456388,1793724,2089552,5893613,7766652,9445432,6474056,,"C18H38N2O6 [ C18 H38 N2 O6, tgt=, overall=90.51, db=90.51 ]",,,C18H38N2O6 Esi+12.351007,12.351007,"(379.2783, 1576453.6)(380.2817, 331799.0)(381.2843, 42905.98)(382.2872, 4495.67)",378.2729,Esi+,C18 H38 N2 O6,50,FindByFormula
670.5638@12.534998,417034,334380,375707,344104,899897,427074,1137419,3242579,785407,7092607,2840115,8099810,4335162,5109049,4679724,7949859,5325730,1165995,419989,3330499,1118022,7339653,5239891,948966,5786419,3821559,414996,173058,3824304,1669768,1365347,942007,846410,5820533,2184557,1237647,1436237,319918,4757936,3925204,7860227,1213308,6879215,1424421,1301209,2.23E+07,449950,590284,9652059,9438800,2458600,,,,,670.5638@12.534998,12.534998,"(336.2863, 1584.3)(671.5736, 467400.22)(672.5765, 216307.38)(673.5787, 43991.18)(674.5812, 6572.4)",670.5638,Esi+,,50,FindByFormula
C21H46O3Si,9410449,6816298,8113373.5,9214287,8774322,7100118,6696127,6283964,4060466,5997879,7808918,5772349,5666948,3702537,5609129,5869057,7145090,3802645,4790850,5687703,7299645,4455312,4940519,6421235,7651157,7373301,3976031,6052276,5720054,5052315,3770760,3280607,2884235,2125229,2529675,6480195,4666745,2947859,4601686,4685444,3186864,2500287,1962628,1625897,2362064,2482739,1523255,3167675,3502155,2028004,2300190,,"C21H46O3Si [ C21 H46 O3 Si, tgt=, overall=89.77, db=89.77 ]",,,C21H46O3Si,15.101008,"(375.3275, 158244.19)(376.3298, 37315.43)(377.3288, 8664.24)",374.3202,Esi+,C21 H46 O3 Si,50,FindByFormula
C19H28N2S,101980,189449,145714.5,400102,294728,317686,268070,202297,232717,218031,198660,230258,328751,289225,362935,377530,421653,411281,279418,247579,267204,249858,293292,232951,207545,357448,279053,388927,419369,591978,830479,1014360,1032151,361509,439087,458017,668895,585550,536200,437489,515854,304765,3794913,1705115,1248420,274162,933547,403424,254059,328097,334338,,"C19H28N2S [ C19 H28 N2 S, tgt=, overall=74.40, db=74.40 ]",,,C19H28N2S,11.136998,"(317.2047, 229689.64)(318.2076, 38396.18)(633.4026, 4125.26)",316.1975,Esi+,C19 H28 N2 S,50,FindByFormula
C13H22N2S,2533877,2842072,2687974.5,2113135,2268625,2111978,2203267,2325413,2228352,2253713,2482617,2234738,2355586,2341735,2381272,2475298,2102834,2370149,2270145,2447346,2213493,2516390,2246359,2289959,2390972,2315952,2329451,2166379,2404723,2346167,2281590,2275608,2246638,2297894,2238061,2298022,2339145,2441635,2763841,2480237,2407570,2519590,2368714,2127101,2385628,3791519,1976004,2361444,2550989,2477515,2383668,,"C13H22N2S [ C13 H22 N2 S, tgt=, overall=81.69, db=81.69 ]",,,C13H22N2S,9.587004,"(239.1589, 340574.84)(240.1617, 36789.68)(241.1672, 4119.93)",238.1505,Esi+,C13 H22 N2 S,50,FindByFormula
C19H43NO4P,1.20E+07,9873353,10936676.5,5265155,7262365,6942788,7582461,9027966,8072091,1716027,8097160,6886377,7078390,6987997,7356776,6309601,6531633,6719863,5332261,9198575,6500743,7452425,6185495,7449129,8809426,7558623,3666584,2704217,5296877,1130935,929827,936079,967532,5341532,1424445,3129846,4954193,837147,5360522,652661,1959967,618510,1257872,2733355,529461,6505740,2780166,676045,861983,844049,879471,,"C19H43NO4P [ C19 H43 N O4 P, tgt=, overall=52.36, db=52.36 ]",,,C19H43NO4P,12.695004,"(381.2953, 66208.19)(382.2983, 13661.89)(761.5049, 4629.79)(762.5054, 2395.1)(763.5054, 4370.53)",380.2855,Esi+,C19 H43 N O4 P,50,FindByFormula
C14H18O4 Esi+8.503999,66935,72753,69844,1036517,1026581,1224977,1225795,902190,1293570,2155533,1209751,1321255,959249,1040715,1071120,703979,998032,793812,976275,586056,1248052,903460,1222781,1264462,881519,1007894,920561,7592758,998332,1621442,1389013,1524042,1613435,1700474,1779327,1857617,1663414,7807266,1008219,1812803,1858068,1693746,1349448,6897190,2095964,660228,3151509,2387965,1337195,1788288,2799752,,"C14H18O4 [ C14 H18 O4, tgt=, overall=92.76, db=92.76 ]",,,C14H18O4 Esi+8.503999,8.503999,"(251.1273, 663984.25)(252.1302, 72135.19)(253.1339, 8721.97)",250.1196,Esi+,C14 H18 O4,50,FindByFormula
C18H22N2OS,4003349,5949494,4976421.5,2872511,3155517,2856900,2649764,3426289,3109382,3486776,3501416,1565518,1383294,3117451,3832541,3098187,880371,3095130,3020788,4614009,1420184,1602552,1398787,1349475,1742421,1585051,3281856,2384652,1080510,866384,789002,784977,794474,2201293,1138059,932256,1984079,2092892,2383297,2340912,994001,1033953,1837696,1387294,1773903,3409608,629178,973461,2334582,1009286,2318582,,"C18H22N2OS [ C18 H22 N2 O S, tgt=, overall=88.83, db=88.83 ]",,,C18H22N2OS,11.006997,"(315.1525, 104195.47)(316.1555, 16824.98)(317.1613, 2708.01)",314.1438,Esi+,C18 H22 N2 O S,50,FindByFormula
C48H78O3,3861477,3014656,3438066.5,2979284,3635888,2917181,3141113,3370280,2317327,2762594,3027162,3037024,2814016,2111555,2953281,2092902,3231201,3693808,3820354,2978207,2837915,2708630,3409009,2441974,3333397,2921977,3024025,2450408,2484280,2201084,2090632,1857735,2157416,2592268,2487781,2322020,2127492,2167036,2386425,2277559,1587007,2242056,2158723,1604171,1706534,1,1,1583149,1447377,2168101,2070546,,"C48H78O3 [ C48 H78 O3, tgt=, overall=88.04, db=88.04 ]",,,C48H78O3,12.5759945,"(703.6051, 59397.75)(704.6076, 31163.71)(705.6075, 10951.57)(706.6083, 3060.69)",702.5975,Esi+,C48 H78 O3,50,FindByFormula
C16H26N6O,334507,360887,347697,691042,449125,914819,479350,518736,464096,372626,453180,632605,1331814,1190491,957545,1192761,551531,593091,521210,483638,709193,449773,506070,609437,523702,594507,565705,1426954,1929200,2486371,2660527,3020692,3230823,604464,815192,936781,1809875,1912644,1565218,2294499,2013183,2157560,2704835,3291531,3712966,464062,1033562,479347,770015,847890,748076,,"C16H26N6O [ C16 H26 N6 O, tgt=, overall=83.08, db=83.08 ]",,,C16H26N6O,11.142002,"(319.2216, 360158.94)(320.2247, 64629.71)(321.2302, 8776.95)(637.4311, 3523.12)",318.2131,Esi+,C16 H26 N6 O,50,FindByFormula
C22H34N6,1.20E+07,1.17E+07,11850000,5935053,7199271,9833553,7306729,8573850,1.20E+07,7748461,7685073,9216620,6428297,5559650,5276066,5241971,5319622,1.10E+07,4429551,8285867,5717825,6840794,5760108,6114233,9413290,6560983,5889483,1657604,1944286,1529576,1708034,1709805,1491254,4391168,1911675,1887388,2109444,926243,4330493,1898804,1632602,1261242,1927771,1146622,941553,6116482,2351162,904062,1890260,1647648,2508713,,"C22H34N6 [ C22 H34 N6, tgt=, overall=89.78, db=89.78 ]",,,C22H34N6,12.52,"(383.2925, 178665.6)(384.2948, 41760.79)(385.2911, 10303.27)",382.2854,Esi+,C22 H34 N6,50,FindByFormula
C15H35P3,1472188,2176290,1824239,1229844,1250184,1320288,1512438,1449135,1500672,1482091,1856190,1591373,1566545,1839119,1775553,1706834,1550092,1680492,1881504,1879112,1734445,2103525,1854578,1955314,2042767,1892977,2072192,1614882,1982924,2332354,2200175,1901278,2014259,1875304,1817807,2396303,2004016,1939007,2495241,1930998,2090263,2179637,2369862,1819956,1855277,3070625,1338629,2184495,2072017,2284441,1794710,,"C15H35P3 [ C15 H35 P3, tgt=, overall=88.40, db=88.40 ]",,,C15H35P3,10.928001,"(309.2007, 363443.2)(310.2036, 53652.39)(311.2085, 8053.06)",308.1925,Esi+,C15 H35 P3,50,FindByFormula
C24H38O4,2226414,2113219,2169816.5,1512814,1760397,1646233,1509770,1764615,1635879,1450354,1642190,1659818,1640348,1531677,1680192,1745173,1539959,1904171,1611005,1721961,1810908,1688640,1679234,1814250,1631091,1867504,1799980,1590061,1545487,2114918,1971908,2102999,2399914,1792386,1916741,2124652,1718805,4464161,1340364,2623081,1587725,2301645,1763664,1666240,1922649,2102318,711110,1940441,1726738,1805779,1568835,,"C24H38O4 [ C24 H38 O4, tgt=, overall=69.92, db=69.92 ]",,,C24H38O4,12.578002,"(391.2837, 436779.78)(392.2864, 96512.79)(393.2951, 69452.23)",390.2761,Esi+,C24 H38 O4,50,FindByFormula
C9H15N4,3558054,3620242,3589148,2076549,2128626,2094730,2177048,2583917,2229016,1988582,2171212,2051330,2152892,2381613,2399790,2362483,1743963,2138922,2270655,2528954,2132491,2156562,1934688,2039303,2326933,2312430,2355300,1911447,1914577,1541327,1891645,1814878,1726768,1824072,1717270,1588228,1762628,1963851,2347053,3202800,2793261,3110445,2332976,1786847,2877295,3519598,1459850,3362573,3126884,2681899,1965372,,"C9H15N4 [ C9 H15 N4, tgt=, overall=55.59, db=55.59 ]",,,C9H15N4,8.881996,"(180.1333, 269756.78)(181.1364, 25450.07)",179.1245,Esi+,C9 H15 N4,50,FindByFormula
C29H48O3,152858,154153,153505.5,1018748,371714,1468908,524777,318279,401156,714090,557516,595136,1172339,786053,626751,219494,578068,659441,408970,320139,728689,700756,495577,664679,671820,572246,797500,293443,533140,2605542,1127891,2252032,3556687,1088831,1000853,1300497,2024773,1410777,350542,580757,472826,482543,1070427,663460,1018511,218406,44753,453572,167776,865854,426445,,"C29H48O3 [ C29 H48 O3, tgt=, overall=87.10, db=87.10 ]",,,C29H48O3,13.033998,"(445.3674, 196831.08)(446.3703, 55091.34)(447.3775, 20077.46)",444.3566,Esi+,C29 H48 O3,50,FindByFormula
C21H37NO2,414804,347730,381267,341182,879283,419718,1124241,3166993,777445,7041785,2827846,8055758,4296347,5004747,4566587,7968312,5331210,1181368,726998,3321325,1103236,7275628,5209877,1511558,4868168,3787457,408218,54220,3090456,1670659,1369636,984668,852775,5823576,2188039,1238559,1437162,310076,4759245,3745047,7862532,1200748,2225067,1273887,1299885,2.21E+07,460352,651079,9651750,9578646,2425558,,"C21H37NO2 [ C21 H37 N O2, tgt=, overall=93.09, db=93.09 ]",,,C21H37NO2,12.536006,"(336.2863, 1584.3)(671.5736, 467400.22)(672.5765, 216307.38)(673.5787, 43991.18)",335.2819,Esi+,C21 H37 N O2,50,FindByFormula
CH3NO4S,2552930,2409637,2481283.5,2503804,2454262,2208235,2409804,2559250,2474780,2665710,2667076,2362457,2442109,2267360,2633357,2917367,2109508,2397048,2498255,2416309,2358299,2678884,2284518,2535329,2438578,2557244,2434780,2373704,2011747,1832564,1770955,1688337,1684494,2457847,1930163,1813923,2299394,1932387,2582474,1139085,1496831,1274462,2076731,2253784,1909537,2919925,2120385,1331711,1320353,2025273,2432558,,"CH3NO4S [ C H3 N O4 S, tgt=, overall=72.75, db=72.75 ]",,,CH3NO4S,1.4430004,"(125.9863, 286543.47)(126.9894, 9522.69)",124.979,Esi+,C H3 N O4 S,50,FindByFormula
596.4373@13.112999,310165,316244,313204.5,1040271,905786,1276963,815166,676515,838457,920370,887614,1006401,1154258,896519,693100,944005,783453,723562,432512,572218,862920,673796,723799,1096743,654541,776059,758669,662595,790307,1536568,1261326,1506034,1649744,600992,682364,891884,1132880,916980,459739,4094592,1073904,3194001,1221575,821241,1793452,429638,69920,2506138,1264516,928521,634391,,,,,596.4373@13.112999,13.112999,"(597.447, 20253.78)(598.4498, 7708.82)(599.4625, 30627.44)(600.4656, 10842.38)(601.4773, 22361.42)(602.4811, 7839.56)",596.4373,Esi+,,50,FindByFormula
C9H7BrS,87107,1,43554,339702,494708,221917,119789,78047,113690,218725,257708,755031,296482,319249,375438,562902,118484,143076,212515,130759,263212,248558,140765,651061,326755,123137,233176,1646381,1471331,974474,2103750,2047025,2084444,643952,685700,607433,430243,501076,1241477,3184984,2316625,2716076,1964263,1977418,1988475,214636,2228857,2188636,1611958,1150079,1770586,,"C9H7BrS [ C9 H7 Br S, tgt=, overall=70.35, db=70.35 ]",,,C9H7BrS,1.2029994,"(226.952, 348057.4)(227.9551, 9937.32)(228.9561, 3979.24)",225.9445,Esi+,C9 H7 Br S,49,FindByFormula
C24H41NO,1537984,2781136,2159560,810004,846345,1191451,1386178,1329851,1439702,1247957,1261177,1189434,1109513,1002383,972249,1271124,1244319,1530451,768147,1117510,1113932,1052084,1255434,1280635,1146548,1405703,1197898,333076,386277,521709,327787,354090,297613,600744,594436,876326,747049,594889,484221,336036,234291,293714,540869,161936,200465,836166,1,280600,387134,382319,314390,,"C24H41NO [ C24 H41 N O, tgt=, overall=68.03, db=68.03 ]",,,C24H41NO,13.111,"(360.3225, 329937.47)(361.3247, 78916.8)(362.3264, 9273.61)",359.3147,Esi+,C24 H41 N O,49,FindByFormula
C12H20O3,268185,303893,286039,507541,1084016,376026,1983604,1208272,1353047,527008,569851,647274,772928,771622,436051,376279,651617,378324,2566524,659300,1508420,525107,2948045,1523126,612130,430449,575225,328913,397798,459539,417602,446257,403988,426697,382479,447722,407390,437720,419551,460851,436538,430201,448696,398299,414979,329317,378886,439071,416219,414149,432684,,"C12H20O3 [ C12 H20 O3, tgt=, overall=88.30, db=88.30 ]",,,C12H20O3,8.329002,"(213.1499, 278347.47)(214.1528, 27391.66)(215.1552, 2571.47)",212.1417,Esi+,C12 H20 O3,50,FindByFormula
C15H30N2O6,95872,108369,102120.5,254377,305422,214478,147798,124885,157429,123376,200606,239225,136113,130828,138216,126809,175212,142732,216392,229928,232561,217972,133968,132084,126101,184797,133723,144685,158647,370582,585471,468433,457221,176162,159610,180451,578839,149924,367160,219689,92757,237899,1685573,2721654,230293,177228,984361,399565,206326,375808,145813,,"C15H30N2O6 [ C15 H30 N2 O6, tgt=, overall=86.88, db=86.88 ]",,,C15H30N2O6,11.252996,"(335.2168, 236627.55)(336.2197, 41895.19)(337.2296, 15967.38)",334.2074,Esi+,C15 H30 N2 O6,50,FindByFormula
C2HClN2O2,2812047,2674667,2743357,2738511,2855548,2729339,2878000,2782467,2711608,2668752,2759978,2790874,2775176,2718809,2834731,2725805,2696936,2682134,2727160,2663706,2669688,2760356,2839127,2768127,2759273,2729097,2785513,2771514,2788869,2645596,2705472,2632443,2578880,2535115,2602538,2621679,2611299,2679946,2589661,2575662,2279679,2531215,2487839,2438976,2494551,2541492,2439460,2406027,2488840,2437904,2495546,,"C2HClN2O2 [ C2 H Cl N2 O2, tgt=, overall=54.44, db=54.44 ]",,,C2HClN2O2,15.901996,"(120.9808, 149912.03)(121.9843, 1798.38)(240.8821, 1803.2)",119.9734,Esi+,C2 H Cl N2 O2,50,FindByFormula
C21H34O2,36765,40637,38701,1,1,20393,1,200314,18100,1,14143,1,13330,1,1,1,116104,19678,36038,29040,13442,25642,1,18748,1,1,1,24155,23422,72673,45987,69979,84528,1007637,2467569,1634084,1125567,1078610,425511,60888,26437,42379,67860,73183,73056,36923,1,130911,10180,33507,200948,,"C21H34O2 [ C21 H34 O2, tgt=, overall=97.20, db=97.20 ]",,,C21H34O2,12.656003,"(319.2636, 333512.5)(320.2664, 67024.19)(321.2697, 8021.56)",318.2516,Esi+,C21 H34 O2,50,FindByFormula
C9H7BrS Esi+15.650006,2519223,2635765,2577494,2496230,2547502,2569215,2550542,2521636,2571029,2545079,2534332,2598816,2551242,2553851,2584607,2597969,2552195,2602962,2575965,2633877,2585641,2635876,2649977,2687038,2684647,2745079,2759891,2648384,2630498,2646941,2643102,2612137,2612322,2609240,2602171,2608324,2641476,2660789,2639524,2616283,2592460,2600994,2581081,2578111,2576093,2552409,2561272,2627521,2593851,2581574,2576958,,"C9H7BrS [ C9 H7 Br S, tgt=, overall=70.37, db=70.37 ]",,,C9H7BrS Esi+15.650006,15.650006,"(226.952, 191623.14)(227.9552, 6153.66)(228.9557, 2273.33)",225.9448,Esi+,C9 H7 Br S,50,FindByFormula
140.9512@1.4550011,3060643,2390141,2725392,3246065,3078770,3501028,3296648,3279938,2468262,2888271,3472830,3106019,2662806,3183260,2988503,3186500,2905058,3041050,2344193,3130226,2254620,2355787,3080971,3319745,2351935,3081830,2392552,1954860,2307165,2786734,2674720,2171988,2102547,2533991,2141416,2609055,2705177,2148313,2541894,2705663,2160423,2746370,2515011,2455564,2695548,2381499,2360032,2755820,2672013,2074841,2444990,,,,,140.9512@1.4550011,1.4550011,"(141.9586, 61904.82)(142.9628, 4157.26)(143.9593, 2484.97)",140.9512,Esi+,,50,FindByFormula
C12H12O3,193321,228832,211076.5,173596,209648,203964,226553,178367,202704,487730,207270,200382,273692,210581,277557,189994,202216,187896,215791,178038,261777,197742,212219,284967,206575,211022,296756,1647876,203946,225739,257295,205244,238972,233506,210280,193056,287212,2624372,237641,295465,297580,284098,249882,1860141,280992,242229,206286,212942,265995,277336,415266,,"C12H12O3 [ C12 H12 O3, tgt=, overall=97.68, db=97.68 ]",,,C12H12O3,10.703002,"(205.0863, 273828.16)(206.0892, 30548.8)(207.0926, 3136.45)",204.0729,Esi+,C12 H12 O3,50,FindByFormula
