MZmine_ID,MB1,MB2,MB3,MB4,MB5,D1S1_1,D1S1_2,D1S1_3,D1S2_1,D1S2_2,D1S2_3,D1S3_1,D1S3_2,D1S3_3,D1S4_1,D1S4_2,D1S4_3,D2S1_1,D2S1_2,D2S1_3,D2S2_1,D2S2_2,D2S2_3,D2S3_1,D2S3_2,D2S3_3,D2S4_1,D2S4_2,D2S4_3,D3S1_1,D3S1_2,D3S1_3,D3S2_1,D3S2_2,D3S2_3,D3S3_1,D3S3_2,D3S3_3,D3S4_1,D3S4_2,D3S4_3,Pooled_1,Pooled_2,Pooled_3,Pooled_4,10ppb_1,100ppb_1,250ppb_1,500ppb_1,1000ppb_1,10ppb_2,100ppb_2,500ppb_2,1000ppb_2,250ppb_2,250ppb_3,250ppb_4,m/z,Retention Time,Mass,Ionization mode
195,1,1,1,1,1,167.27109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,172.34906,229.39485,194.53075,1,158.10648,155.00179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135.0447557,5.210693,136.0520317,Esi-
1105,1,1,212.50888,1,1,1,1,1,1,1,1,1,193.32286,1,1,187.24875,1,1,1,1,1,1,1,1,1,1,1,183.87411,1,1,158.50034,1,1,1,1,1,161.55927,1,1,1,1,1,1,1,1,1933.3348,899.9561,1,1,1,1933.3348,899.9561,1,1,1,164.88655,1,136.9909812,13.643152,137.9982572,Esi-
204,1,1,1,1,140.6312,1,128.36618,93.69568,1,1,1,1,1,1,1,1,1,1,107.84378,1,1,1,1,1,105.94353,149.3623,1,1,1,1,1,142.07344,1,1,132.65536,1,1,1,1,1,1,1,1,126.72088,1,1,1,1,1,1,1,1,1,1,1,1,1,137.0091028,5.374719,138.0163788,Esi-
289,1,1,1,1,1,698.06934,734.5519,889.50854,592.0418,667.826,741.03973,1040.8318,1081.2921,1132.3146,1,1,1,193.0096,1,238.02486,403.01663,477.47934,454.74344,330.01834,360.9735,347.32095,1,1,1,1,514.93384,419.75906,427.50198,423.38696,346.6038,680.8979,774.6144,570.5375,1,1,1,395.29602,428.3116,1,388.77692,1,1,1,1,1,1,1,1,1,1,1,1,138.0191276,6.5479937,139.0264036,Esi-
106,1,1,1,1,1,206.25592,1,1,299.8852,306.43176,203.91934,1,1,1,1,1,1,1,1,1,357.20673,445.5639,437.1713,1,223.22775,229.04291,1,1,1,103.5836,177.77661,130.3522,109.293785,168.37297,1,148.19633,188.13171,143.97801,1,1,1,299.21945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138.0556898,1.619568,139.0629658,Esi-
452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,220.3818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141.0456551,7.9722643,142.0529311,Esi-
597,1,1,1,1,1,1,1,1,1,1,1,1,1,77.51295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138.18753,1,99.91088,1,1,138.18753,99.91088,1,1,1,1,143.107002,8.716893,144.114278,Esi-
431,1,1,1,1,1,279.7392,325.04233,1,1,307.4472,1,273.93945,1,1,252.26132,1,1,1,365.8006,1,281.97708,1,242.88461,1,1,1,1,1,1,346.632,1,1,264.2428,285.7819,253.14569,1,1,250.80453,254.39569,286.50266,1,1,1,340.70404,1,1069.6895,869.7425,782.83716,1,1,1069.6895,869.7425,1,1,787.0311,813.21094,737.0817,143.1073521,7.9147215,144.1146281,Esi-
262,1,1,1,1,1,1,1,1,566.8459,639.6909,1,717.26086,1,1,1,1,1,554.6179,1,1,1,1,1,862.71576,1,1,1,1,1,1,1,1,1,1,1,794.4103,1,808.3445,1,1,1,533.2986,553.2308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144.0449178,6.21668,145.0521938,Esi-
131,1,1,1,1,1,1,244.43005,263.5633,1,238.48105,258.5357,1,220.49721,227.3072,1,1,1,1,1,1,1,310.7026,1,1,262.1976,1,1,1,1,1,1,1,1,1,1,1,122.754654,1,1,1,1,1,137.84492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144.0449822,3.5933735,145.0522582,Esi-
