# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C17H14F3N3O4S2,1,1,1,11323,1,1,1,1,1,1,1,1,1,1,1,1,12105,1,1,1,1,1,1,1,8980,1,1,61676,66170,73569,24101,66691,112893,65489,28236,26308,72683,88696,95162,38679,37944,27129,36039,40005,28450,24957,35562,23891,26053,33832,25367,,"C17H14F3N3O4S2 [ C17 H14 F3 N3 O4 S2, tgt=, overall=65.25, db=65.25 ]",,,C17H14F3N3O4S2,FindByFormula,C17 H14 F3 N3 O4 S2,51,,445.0431,"(444.0335, 10083.61)(445.0372, 1223.63)(446.0324, 641.8)",1.2309992
C12H8OS,1,1,1,63817,71717,64148,76126,45304,70600,53302,29896,36501,61790,63302,89928,1,89150,67214,99135,39820,112369,1,67252,1,43389,76471,42835,66920,95960,54163,1,89604,35248,27663,17562,55077,56252,41676,38566,73823,74250,87124,80162,88727,83925,84561,82087,87930,92636,89351,58182,,"C12H8OS [ C12 H8 O S, tgt=, overall=67.82, db=67.82 ]",,,C12H8OS,FindByFormula,C12 H8 O S,50,,200.0313,"(199.0235, 10388.74)(200.021, 1526.22)",2.389
C14H10F4N4O7S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21100,33767,57149,1,45865,99268,18334,1,1,39700,41012,44687,12259,11975,1,16755,17050,20059,1,1,1,1,1,1,,"C14H10F4N4O7S [ C14 H10 F4 N4 O7 S, tgt=, overall=86.95, db=86.95 ]",,,C14H10F4N4O7S,FindByFormula,C14 H10 F4 N4 O7 S,51,,454.0223,"(453.0133, 11535.83)(454.0163, 1186.1)(455.01, 827.46)",0.83499944
C28H46N4O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59816,72386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102779,1,1,1,1,1,1,1,,"C28H46N4O4 [ C28 H46 N4 O4, tgt=, overall=77.48, db=77.48 ]",,,C28H46N4O4,FindByFormula,C28 H46 N4 O4,51,,502.3494,"(501.3439, 3658.18)(502.3483, 1219.21)",12.395997
C12H21FN4,1,1,1,22639,22742,21924,28773,1,23920,19471,1,23460,17529,20050,1,26516,38520,29216,24673,1,29551,28965,39077,42619,32431,34454,24596,25596,43506,1,1,33973,1,1,1,43477,20539,30188,19724,39349,41221,63095,55014,100859,71610,37945,42370,65961,46200,39492,26160,,"C12H21FN4 [ C12 H21 F N4, tgt=, overall=86.79, db=86.79 ]",,,C12H21FN4,FindByFormula,C12 H21 F N4,51,,240.1744,"(239.1674, 10119.05)(240.1707, 1533.44)",10.339998
867.8191@1.1679995,1,1,1,34518,52819,15680,1,1,17384,16635,16736,56189,19681,18644,29115,45595,8447,12640,19964,12223,22192,17022,15329,45036,31846,10895,13527,70060,63485,60303,17530,61032,57215,72707,72027,79543,87266,73804,79416,73525,67867,66594,86611,80868,87341,47951,41621,44122,43348,38036,62165,,,,,867.8191@1.1679995,FindByFormula,,51,,867.8191,"(866.8211, 2005.78)(867.8223, 265.71)(868.8207, 273.7)",1.1679995
C32H50NO 12.895997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53361,62547,58506,1,1,85907,1,1,22395,77183,1,84236,1,1,83483,43294,88470,41704,1,1,1,25866,23935,1,,"C32H50NO [ C32 H50 N O, tgt=, overall=68.81, db=68.81 ]",,,C32H50NO 12.895997,FindByFormula,C32 H50 N O,51,,464.3898,"(463.3836, 4089.64)(464.387, 1238.03)",12.895997
C37H24N2O7,1,1,1,19620,19877,19429,1,1,18725,1,1,17608,19419,17563,1,1,28630,23089,21601,1,26150,1,28863,1,30280,34476,29894,1,1,1,1,55879,1,1,1,23217,1,1,1,48746,60268,81728,27422,32727,26751,83478,49217,102419,71102,65978,53820,,"C37H24N2O7 [ C37 H24 N2 O7, tgt=, overall=94.57, db=94.57 ]",,,C37H24N2O7,FindByFormula,C37 H24 N2 O7,51,,608.1676,"(607.152, 7277.37)(608.1543, 2794.06)(609.1558, 874.69)",10.407996
C30H58O6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58141,65354,146656,1,1,156919,38776,1,1,161401,1,197931,1,1,1,27603,305173,34396,1,1,1,1,1,1,,"C30H58O6 [ C30 H58 O6, tgt=, overall=70.20, db=70.20 ]",,,C30H58O6,FindByFormula,C30 H58 O6,51,,514.426,"(513.4197, 8588.14)(514.4243, 2500.82)(515.4266, 148.11)",12.499001
C23H18N4O5,1,1,1,92027,87713,86235,81651,54807,77064,75665,71571,73292,72938,67006,65281,29713,83625,68228,77798,54064,80891,64929,72528,70100,57351,57622,58540,59426,64924,24472,1,74950,1,17052,20236,55359,22554,25850,16420,48106,53558,63422,58624,62290,65685,69604,67657,76613,61343,59670,1,,"C23H18N4O5 [ C23 H18 N4 O5, tgt=, overall=66.28, db=66.28 ]",,,C23H18N4O5,FindByFormula,C23 H18 N4 O5,51,,430.135,"(429.1228, 8982.65)(430.1258, 1802.79)",6.8699975
C18H36O4Si 11.437994,1,1,1,31668,41383,44461,20969,1,21327,29430,39905,51924,69152,56504,40959,39757,47113,39037,23458,1,32046,19248,27001,35134,25230,1,22669,185509,229471,181896,38859,37587,203190,510646,294843,80646,194726,541190,228192,43449,270912,127196,504477,507427,257012,78305,39364,101920,253226,121514,65390,,"C18H36O4Si [ C18 H36 O4 Si, tgt=, overall=71.38, db=71.38 ]",,,C18H36O4Si 11.437994,FindByFormula,C18 H36 O4 Si,51,,344.2378,"(343.2322, 37801.93)(344.2352, 8061.17)",11.437994
974.7918@12.153996,1,1,1,23618,13006,30731,21344,13464,17818,20484,21795,17562,29884,29415,23074,35439,26357,27613,22079,1,27135,26707,31113,35077,25415,29765,31092,18084,1,53552,15956,13243,96699,43434,37766,31679,72174,45451,59336,21988,25993,32080,27608,22384,34271,19811,1,26704,14785,37924,43264,,,,,974.7918@12.153996,FindByFormula,,51,,974.7918,"(973.7822, 4410.82)(974.7857, 3082.49)(975.7872, 1541.95)(976.7893, 544.17)",12.153996
C5H7F3O3 1.3720007,1,1,1,34503,24665,42522,51058,40888,38994,53025,64927,40434,113798,98724,75154,42182,71580,73604,62475,49173,60987,84513,62528,105241,103096,105050,111419,1,1,1,1,1,1,136896,1,1,1,327689,1,1,1,1,1,1,1,1,1,1,1,1,269177,,"C5H7F3O3 [ C5 H7 F3 O3, tgt=, overall=82.21, db=82.21 ]",,,C5H7F3O3 1.3720007,FindByFormula,C5 H7 F3 O3,51,,172.0363,"(171.0285, 28596.67)(172.0318, 1454.61)",1.3720007
C30H46NO 12.670001,1,1,1,1,1,49523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,177718,246911,291575,1,1,290064,69321,1,1,272708,58658,288100,1,1,68817,62721,468963,61146,1,1,1,1,1,1,,"C30H46NO [ C30 H46 N O, tgt=, overall=64.19, db=64.19 ]",,,C30H46NO 12.670001,FindByFormula,C30 H46 N O,51,,436.3596,"(435.3529, 11501.24)(436.3564, 3309.25)",12.670001
C25H39N5O7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22538,1,1,1,1,1,1,1,1,81570,1,21982,75425,50750,1,19200,89696,30876,56322,1,1,1,32346,19052,1,1,1,1,30441,1,1,,"C25H39N5O7 [ C25 H39 N5 O7, tgt=, overall=44.52, db=44.52 ]",,,C25H39N5O7,FindByFormula,C25 H39 N5 O7,51,,521.2778,"(520.2719, 8308.26)(521.2761, 2126.75)",12.2109995
C22H30NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88513,129121,1,1,1,25968,27946,1,1,23396,25286,23329,1,1,1,1,77877,1,1,1,1,20087,1,23117,,"C22H30NO [ C22 H30 N O, tgt=, overall=81.69, db=81.69 ]",,,C22H30NO,FindByFormula,C22 H30 N O,51,,324.2325,"(648.3561, 1732.68)(649.3647, 786.29)(323.2254, 2625.46)(324.2291, 531.81)",14.218
C22H17N3O9S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54396,62932,91822,48455,53260,48545,1,1,1,1,1,1,,"C22H17N3O9S2 [ C22 H17 N3 O9 S2, tgt=, overall=61.31, db=61.31 ]",,,C22H17N3O9S2,FindByFormula,C22 H17 N3 O9 S2,51,,531.0412,"(530.0346, 9577.99)(531.0372, 2018.17)",8.864005
C36H65NO13,1,1,1,27442,1,29680,1,1,1,1,1,1,32004,29050,1,41237,37228,35611,1,1,31705,20415,24961,40545,1,33336,28585,55261,50719,83537,1,16969,96811,64045,34141,36353,105292,63813,98584,1,24963,44657,50764,76975,59817,1,1,1,27379,52177,59057,,"C36H65NO13 [ C36 H65 N O13, tgt=, overall=74.16, db=74.16 ]",,,C36H65NO13,FindByFormula,C36 H65 N O13,51,,719.4467,"(718.4375, 5981.81)(719.4399, 3403.22)(720.4404, 1451.36)",12.2109995
C23H25NO2,1,1,1,44477,42146,48940,44793,30203,42126,37878,32106,36627,53027,50083,38565,23396,33041,23537,27342,1,32370,31404,36686,39412,1,1,1,47288,69233,80138,1,76372,57247,74517,93505,73325,46283,59647,46139,24706,35701,48407,46745,50942,49917,47325,48221,65079,48975,47838,33806,,"C23H25NO2 [ C23 H25 N O2, tgt=, overall=82.36, db=82.36 ]",,,C23H25NO2,FindByFormula,C23 H25 N O2,51,,347.1876,"(346.1806, 5270.3)(347.1837, 1200.1)",8.020997
C23H28N8O 9.048003,1,1,1,94629,71356,155928,126288,76935,111454,131412,104281,111900,120054,90376,94660,35289,61649,1,149887,39102,185649,119064,140002,129902,93690,1,95463,131131,227045,1,1,361396,1,1,58837,168893,1,1,1,200437,153766,274067,238082,268917,263622,246108,207288,301543,165558,178074,62482,,"C23H28N8O [ C23 H28 N8 O, tgt=, overall=79.13, db=79.13 ]",,,C23H28N8O 9.048003,FindByFormula,C23 H28 N8 O,51,,432.2392,"(431.2319, 31602.68)(432.2353, 7169.02)",9.048003
C12H11N4O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11425,74493,90145,111257,42048,85980,156797,55098,24066,21129,85444,88546,98960,36710,36035,25355,33900,38522,31074,23210,26726,22050,22549,41515,26114,,"C12H11N4O2 [ C12 H11 N4 O2, tgt=, overall=74.30, db=74.30 ]",,,C12H11N4O2,FindByFormula,C12 H11 N4 O2,51,,243.089,"(242.0809, 11871.03)(243.0842, 913.12)",1.2169994
1050.979@1.1759995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8826,52373,65193,82355,16048,68081,84489,36401,28093,27906,84504,57260,69631,37136,32493,28231,41556,46628,69117,19110,34890,28676,22839,35677,25288,,,,,1050.979@1.1759995,FindByFormula,,51,,1050.979,"(1049.9764, 13464.71)(1050.9792, 3126.7)(1051.9801, 1017.29)",1.1759995
C12H15IN2O,1,1,1,1,1,1,1,1,1,40346,37279,44088,1,1,1,1,1,1,1,1,1,1,1,1,23398,23923,20277,1,1,1,1,39295,1,1,21016,43646,1,1,1,38348,47044,80929,1,1,1,22188,21256,31836,39347,36017,38567,,"C12H15IN2O [ C12 H15 I N2 O, tgt=, overall=60.93, db=60.93 ]",,,C12H15IN2O,FindByFormula,C12 H15 I N2 O,51,,330.0211,"(329.0162, 7686.02)(330.0187, 2405.88)",8.910003
C33H41N12O6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16706,82141,1,32001,86959,38945,36471,23798,84929,61116,65368,26861,14084,1,29204,69883,58521,1,1,1,1,1,1,,"C33H41N12O6 [ C33 H41 N12 O6, tgt=, overall=44.80, db=44.80 ]",,,C33H41N12O6,FindByFormula,C33 H41 N12 O6,51,,701.3207,"(700.3138, 4541.22)(701.3174, 1429.42)",15.325007
C22H13F3O5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30583,1,85128,43385,91676,1,1,1,43981,35948,46132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51262,57775,25537,,"C22H13F3O5 [ C22 H13 F3 O5, tgt=, overall=81.00, db=81.00 ]",,,C22H13F3O5,FindByFormula,C22 H13 F3 O5,51,,414.066,"(413.0635, 9688.71)(414.0661, 2100.1)",5.4570003
C24H33F3N4O2,1,1,1,62475,57551,37733,52351,32670,57367,28586,1,76484,28857,29163,29817,1,44986,57960,32195,29263,33815,1,33736,1,79474,82895,82915,25371,63482,1,1,54706,1,1,1,39960,1,18707,1,24659,30023,31461,31137,51682,26153,31102,35640,33045,40573,41039,1,,"C24H33F3N4O2 [ C24 H33 F3 N4 O2, tgt=, overall=82.92, db=82.92 ]",,,C24H33F3N4O2,FindByFormula,C24 H33 F3 N4 O2,51,,466.2668,"(465.2488, 7643.72)(466.2517, 2011.81)",9.610995
668.5194@11.321004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79877,92732,1,1,1,1,30965,1,1,1,1,66428,1,1,36331,29837,98269,107546,1,1,1,116569,1,1,,,,,668.5194@11.321004,FindByFormula,,51,,668.5194,"(667.4986, 4078.5)(668.5016, 1938.72)",11.321004
C9H15IN4O,1,1,1,73188,69984,68381,74095,59002,77250,88713,90142,70932,86145,85453,76606,38960,94078,99799,71246,49858,70123,59910,67025,79809,71433,73076,72860,60163,79855,42365,1,74303,1,20032,34020,71144,25934,37520,22949,73099,57389,76971,61723,59535,61745,60816,55350,63164,66739,64622,41666,,"C9H15IN4O [ C9 H15 I N4 O, tgt=, overall=87.28, db=87.28 ]",,,C9H15IN4O,FindByFormula,C9 H15 I N4 O,51,,322.0278,"(321.0217, 8136.98)(322.0247, 838.86)",3.0599988
661.609@14.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39459,74488,113454,1,1,1,37522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52928,,,,,661.609@14.75,FindByFormula,,51,,661.609,"(660.5942, 4249.45)(661.5964, 1614.37)",14.75
C11H20O2,1,1,1,16136,1,19712,1,1,1,1,1,1,17400,1,1,1,33793,23424,20971,1,25085,18066,23044,25332,36696,41550,37149,15397,33090,1,1,32521,1,1,1,35627,1,1,1,34943,45099,79428,56644,51678,41135,57140,52730,98044,78332,75629,19435,,"C11H20O2 [ C11 H20 O2, tgt=, overall=83.21, db=83.21 ]",,,C11H20O2,FindByFormula,C11 H20 O2,51,,184.1474,"(183.14, 10357.69)(184.1433, 1198.29)",9.170006
C48H80O9 14.224,1,1,1,67320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64028,1,1,1,1,1,1,55359,47270,217805,1,1,1,1,1,1,1,1,1,1,1,1,1,33955,1,1,1,1,119138,1,48659,,"C48H80O9 [ C48 H80 O9, tgt=, overall=47.20, db=47.20 ]",,,C48H80O9 14.224,FindByFormula,C48 H80 O9,48,,800.5869,"(799.5777, 4548.67)(800.5782, 2492.04)",14.224
C7H6O2,1,1,1,66991,69308,49875,46180,26980,49145,26604,19158,35200,33452,30245,25928,1,55251,36501,34067,25804,31929,23404,33930,25786,35216,53737,40211,65637,93802,19301,1,99256,1,1,1,46354,1,1,1,62227,60649,82289,66910,55197,53149,45401,58637,56365,80095,92235,38204,,"C7H6O2 [ C7 H6 O2, tgt=, overall=87.13, db=87.13 ]",,,C7H6O2,FindByFormula,C7 H6 O2,51,,122.0367,"(121.0295, 10586.35)(122.0336, 799.93)",4.5910025
C10H6N4O3,1,1,1,64304,65098,63724,80275,51466,66778,36689,17457,48579,24182,28566,60155,1,100784,65790,80145,45426,80232,18437,76220,21119,39885,51163,59264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28116,1,1,1,34023,12997,1,,"C10H6N4O3 [ C10 H6 N4 O3, tgt=, overall=80.90, db=80.90 ]",,,C10H6N4O3,FindByFormula,C10 H6 N4 O3,51,,230.0401,"(229.0365, 13839.7)(230.0395, 1068.39)",1.278
C21H26N4O3,1,1,1,1,1,1,9290,1,1,1,1,1,17146,1,1,1,1,1,1,1,22242,1,1,1,1,1,1,104343,88225,1,1,42925,1,1,1,33947,1,1,1,1,26325,32305,1,38300,15084,8519,128714,8736,34130,1,1,,"C21H26N4O3 [ C21 H26 N4 O3, tgt=, overall=83.80, db=83.80 ]",,,C21H26N4O3,FindByFormula,C21 H26 N4 O3,50,,382.2004,"(381.1937, 10693.87)(382.1968, 2505.23)",8.908998
C15H15F2O3P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94039,1,45076,,"C15H15F2O3P [ C15 H15 F2 O3 P, tgt=, overall=85.82, db=85.82 ]",,,C15H15F2O3P,FindByFormula,C15 H15 F2 O3 P,51,,312.0724,"(311.0657, 8795.51)(312.0691, 1278.07)",7.989004
976.7567@14.2470045,1,1,1,36262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144135,1,1,1,1,1,1,128399,94146,1,1,32176,1,1,1,1,1,1,33322,1,1,1,41084,124041,51401,1,1,1,175161,1,116128,,,,,976.7567@14.2470045,FindByFormula,,50,,976.7567,"(975.7423, 3488.28)(976.752, 3432.16)",14.2470045
C11H7F6NO3 6.4479985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85044,99763,87539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C11H7F6NO3 [ C11 H7 F6 N O3, tgt=, overall=87.03, db=87.03 ]",,,C11H7F6NO3 6.4479985,FindByFormula,C11 H7 F6 N O3,51,,315.0333,"(314.026, 9599.87)(315.0293, 1121.93)",6.4479985
C16H12ClN2O11PS2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79380,92403,24969,,"C16H12ClN2O11PS2 [ C16 H12 Cl N2 O11 P S2, tgt=, overall=55.95, db=55.95 ]",,,C16H12ClN2O11PS2,FindByFormula,C16 H12 Cl N2 O11 P S2,51,,537.9323,"(536.925, 14678.86)(537.927, 2522.73)",5.839
C16H14ClF2NO5S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79101,78430,80793,1,1,1,75248,85395,96387,,"C16H14ClF2NO5S2 [ C16 H14 Cl F2 N O5 S2, tgt=, overall=59.49, db=59.49 ]",,,C16H14ClF2NO5S2,FindByFormula,C16 H14 Cl F2 N O5 S2,51,,437.0033,"(435.9896, 6692.1)(436.9926, 947.41)",6.2820015
C18H9Br6O4P,1,1,58543,1,1,33967,1,87512,18450,1,1,50953,23661,38307,52291,105895,75961,80256,70594,1,48186,1,85549,46577,72089,39250,70756,1,1,1,1,1,1,1,1,1,1,47190,1,32936,1,1,1,1,1,47579,32389,1,1,1,1,,"C18H9Br6O4P [ C18 H9 Br6 O4 P, tgt=, overall=38.96, db=38.96 ]",,,C18H9Br6O4P,FindByFormula,C18 H9 Br6 O4 P,51,,793.5476,"(792.5314, 4606.24)(793.5349, 2249.64)",15.086994
C28H34O10 10.416008,1,1,1,106193,120391,103310,97523,65653,111369,63332,38620,95633,29304,26749,85316,20844,18302,18729,121801,80184,23527,71725,23154,25454,176425,22309,23555,1,42618,53013,1,34947,23777,23939,44723,30704,55216,73304,55304,33175,50638,51775,28111,31813,34164,54984,267015,107322,348861,64264,39861,,"C28H34O10 [ C28 H34 O10, tgt=, overall=94.42, db=94.42 ]",,,C28H34O10 10.416008,FindByFormula,C28 H34 O10,51,,530.2216,"(529.2069, 25146.01)(530.21, 6626.37)(531.2123, 1497.96)",10.416008
C18H24N4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51008,95555,1,1,39422,1,1,1,38122,1,1,1,1,46167,101344,77523,112514,64315,1,102999,44640,102844,56098,1,,"C18H24N4 [ C18 H24 N4, tgt=, overall=85.27, db=85.27 ]",,,C18H24N4,FindByFormula,C18 H24 N4,51,,296.2002,"(295.1927, 3598.04)(296.1957, 660.32)",10.613004
C21H22O11 7.6929955,1,1,1,198560,190123,193101,190641,182658,196028,196565,198650,191120,186431,183457,172971,186190,183927,173212,167631,157097,176541,189295,194161,185581,192384,193076,192820,155537,141259,108418,34087,70544,1,80142,146466,178920,45532,138162,62885,168916,165085,145649,161625,153522,160271,70503,57995,59638,64437,124613,154630,,"C21H22O11 [ C21 H22 O11, tgt=, overall=67.72, db=67.72 ]",,,C21H22O11 7.6929955,FindByFormula,C21 H22 O11,51,,450.113,"(449.1068, 12069.09)(450.11, 2083.5)",7.6929955
C15H28N4O7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,108504,89152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42530,1,47636,1,42380,1,1,,"C15H28N4O7 [ C15 H28 N4 O7, tgt=, overall=79.39, db=79.39 ]",,,C15H28N4O7,FindByFormula,C15 H28 N4 O7,51,,376.1962,"(375.1876, 2523.84)(376.19, 534.22)",8.428001
C22H28N4O3 10.441003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,129384,80229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71328,1,1,1,1,,"C22H28N4O3 [ C22 H28 N4 O3, tgt=, overall=82.09, db=82.09 ]",,,C22H28N4O3 10.441003,FindByFormula,C22 H28 N4 O3,51,,396.2127,"(395.2083, 5324.77)(396.2107, 1376.84)",10.441003
C29H38N2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24078,30803,57209,1,1,51794,21506,1,1,72851,26371,83395,1,1,17203,14721,76724,42075,1,1,1,24736,19178,88441,,"C29H38N2 [ C29 H38 N2, tgt=, overall=74.49, db=74.49 ]",,,C29H38N2,FindByFormula,C29 H38 N2,51,,414.3016,"(413.2962, 10111.12)(414.2993, 2340.91)",11.773993
C18H28N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27829,36563,32374,1,15207,22064,69352,1,1,29602,16175,40630,1,1,1,23994,82867,20922,1,1,1,1,1,1,,"C18H28N [ C18 H28 N, tgt=, overall=84.82, db=84.82 ]",,,C18H28N,FindByFormula,C18 H28 N,51,,258.2214,"(257.2147, 9313.04)(258.2184, 1640.59)",11.773005
792.5745@14.235999,1,1,1,19041,1,1,1,1,1,1,1,1,1,21427,1,1,1,1,1,1,42832,1,1,1,1,1,1,39492,28224,107121,1,1,20682,106265,11061,1,99818,1,79861,1,1,1,1,92925,22048,1,1,1,70074,1,33424,,,,,792.5745@14.235999,FindByFormula,,43,,792.5745,"(395.2864, 899.24)(791.584, 1462.36)(792.5981, 191.69)(793.6172, 48.1)",14.235999
C6H12O8P2,1,1,1,1,1,1,1,1,1,1,1,15631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25370,12367,1,1,98490,1,1,1,61429,1,1,1,57682,47834,29616,32219,41637,26104,1,1,1,1,1,1,,"C6H12O8P2 [ C6 H12 O8 P2, tgt=, overall=81.77, db=81.77 ]",,,C6H12O8P2,FindByFormula,C6 H12 O8 P2,51,,274.0035,"(272.9946, 23089.36)(273.998, 1757.54)",1.035
C6H6O3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58213,98187,1,1,43399,1,1,1,1,1,1,1,1,1,27624,26410,31821,27469,1,1,1,1,1,1,,"C6H6O3 [ C6 H6 O3, tgt=, overall=86.92, db=86.92 ]",,,C6H6O3,FindByFormula,C6 H6 O3,51,,126.032,"(125.0241, 8721.95)(126.028, 605.38)",2.5810006
1162.6779@8.764005,1,1,1,41382,35090,46749,47012,16817,46218,36454,28395,37466,28091,21535,17563,19180,49503,25091,29465,1,40580,24427,38256,36092,24335,29320,25669,31329,52031,1,1,94242,1,1,1,50145,1,1,1,33761,48138,61330,43871,42282,42403,62262,48253,71518,43598,44857,31851,,,,,1162.6779@8.764005,FindByFormula,,51,,1162.6779,"(1161.6583, 7177.09)(1162.6614, 4529.81)(1163.664, 1680.94)",8.764005
C10H8O5S,1,1,1,28145,82849,1,82839,46100,88476,1,1,24426,1,1,1,1,97510,53446,85508,23860,63705,1,102621,1,1,1,18007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21465,1,1,1,,"C10H8O5S [ C10 H8 O5 S, tgt=, overall=73.69, db=73.69 ]",,,C10H8O5S,FindByFormula,C10 H8 O5 S,51,,240.0121,"(239.0027, 10509.86)(240.0061, 1398.62)",6.692996
637.2717@11.706995,1,1,1,110994,120420,27074,63129,37588,82933,25276,17961,29583,1,1,1,1,21557,1,94357,59818,94499,1,99265,1,54061,1,68986,1,1,18138,1,23957,80441,59129,21857,48014,84247,31185,79553,49397,45541,48568,55487,1,1,1,1,35365,68590,1,1,,,,,637.2717@11.706995,FindByFormula,,51,,637.2717,"(636.2553, 5541.76)(637.2591, 1665.34)(638.2622, 393.34)",11.706995
626.4978@11.179996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,103507,74212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,173923,1,1,1,1,,,,,626.4978@11.179996,FindByFormula,,51,,626.4978,"(625.4905, 4526.58)(626.4943, 2108.75)",11.179996
C23H22NO2P,1,1,1,1,1,1,1,1,1,1,1,1,17060,15094,1,27383,19784,22237,1,1,15074,1,16671,20324,1,18994,13778,81776,70042,78997,1,1,44443,32043,14894,18989,74417,28006,46387,1,1,31677,47786,78761,33817,1,20865,1,25116,19927,45375,,"C23H22NO2P [ C23 H22 N O2 P, tgt=, overall=75.93, db=75.93 ]",,,C23H22NO2P,FindByFormula,C23 H22 N O2 P,51,,375.1468,"(374.1327, 9792.06)(375.1351, 2984.64)",12.5040045
